Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA1485, Toronto, ON",35201485,88,35.63%,562,"$181,859.55 ",70.33%,129,35.93%,216,36.61%
"DA2345, Toronto, ON",35202345,93,23.19%,814,"$97,088.56 ",66.53%,184,35.87%,295,35.76%
"DA3146, Toronto, ON",35203146,224,42.34%,"1,054","$144,140.96 ",71.96%,226,35.53%,379,35.65%
"DA4866, Toronto, ON",35204866,122,38.01%,739,"$190,307.34 ",77.44%,156,35.37%,252,33.96%
"DA2940, Toronto, ON",35202940,53,28.49%,464,"$180,307.52 ",55.88%,91,34.87%,172,34.68%
"DA0714, Toronto, ON",35200714,63,35.80%,414,"$130,089.66 ",54.96%,93,34.44%,153,36.17%
"DA1480, Toronto, ON",35201480,67,37.85%,444,"$212,684.63 ",81.08%,96,34.41%,168,35.74%
"DA4501, Toronto, ON",35204501,86,41.55%,510,"$118,286.93 ",55.70%,107,34.29%,188,36.79%
"DA2846, Toronto, ON",35202846,57,39.58%,300,"$145,859.71 ",63.18%,69,33.99%,106,35.81%
"DA1364, Toronto, ON",35201364,82,35.19%,509,"$132,501.82 ",70.09%,114,33.33%,182,33.70%
"DA2101, Toronto, ON",35202101,48,30.77%,419,"$93,141.51 ",46.35%,74,33.33%,128,31.60%
"DA1105, Toronto, ON",35201105,60,30.61%,431,"$85,497.27 ",69.96%,89,32.72%,143,33.10%
"DA2895, Toronto, ON",35202895,66,31.58%,572,"$150,000.00 ",74.60%,103,32.70%,211,37.28%
"DA2381, Toronto, ON",35202381,40,31.75%,477,"$348,174.21 ",73.74%,65,32.50%,156,32.43%
"DA2932, Toronto, ON",35202932,58,28.57%,549,"$254,414.36 ",82.19%,97,32.44%,181,33.21%
"DA4265, Toronto, ON",35204265,237,36.57%,"1,775","$208,043.27 ",74.06%,189,32.03%,374,28.88%
"DA1348, Toronto, ON",35201348,71,33.49%,568,"$137,721.89 ",69.37%,111,31.81%,199,34.31%
"DA4498, Toronto, ON",35204498,72,32.88%,615,"$154,020.96 ",63.95%,102,31.78%,193,34.53%
"DA2309, Toronto, ON",35202309,66,30.84%,668,"$359,058.02 ",77.84%,114,31.49%,212,31.18%
"DA0797, Toronto, ON",35200797,68,28.45%,458,"$92,651.70 ",57.43%,96,31.48%,147,31.96%
"DA2673, Toronto, ON",35202673,204,26.88%,"1,302","$110,529.44 ",74.71%,292,31.26%,401,31.13%
"DA2120, Toronto, ON",35202120,99,21.06%,"1,043","$79,730.98 ",44.25%,201,31.21%,322,30.26%
"DA1319, Vaughan, ON",35191319,103,30.93%,"1,061","$129,194.78 ",63.74%,192,31.02%,337,30.95%
"DA4525, Toronto, ON",35204525,41,33.61%,318,"$104,821.35 ",47.83%,62,31.00%,102,30.18%
"DA2573, Toronto, ON",35202573,73,32.16%,653,"$132,772.56 ",52.92%,109,30.88%,208,31.37%
"DA2946, Toronto, ON",35202946,81,32.93%,642,"$213,167.86 ",83.68%,94,30.72%,199,30.43%
"DA1064, Toronto, ON",35201064,90,26.87%,685,"$98,585.70 ",75.84%,145,30.40%,207,29.91%
"DA0311, Markham, ON",35190311,121,27.25%,884,"$66,723.76 ",40.67%,117,30.39%,250,28.47%
"DA3152, Toronto, ON",35203152,94,34.31%,624,"$186,628.61 ",74.66%,114,30.08%,203,31.09%
"DA4753, Toronto, ON",35204753,78,34.21%,605,"$234,860.00 ",69.88%,107,29.72%,184,29.58%
"DA1371, Toronto, ON",35201371,63,32.31%,405,"$96,440.98 ",67.52%,86,29.55%,127,29.47%
"DA1483, Toronto, ON",35201483,73,33.64%,568,"$128,105.54 ",66.86%,99,29.38%,186,33.63%
"DA2415, Toronto, ON",35202415,64,37.43%,480,"$166,831.28 ",70.61%,78,29.32%,155,32.09%
"DA0667, Toronto, ON",35200667,63,29.58%,495,"$100,532.85 ",56.75%,89,29.28%,151,29.96%
"DA4384, Toronto, ON",35204384,71,13.95%,826,"$79,854.54 ",62.42%,171,29.08%,271,33.13%
"DA3818, Toronto, ON",35203818,84,24.56%,722,"$92,651.62 ",57.96%,139,29.08%,214,28.23%
"DA2392, Toronto, ON",35202392,107,30.75%,958,"$260,271.88 ",71.29%,152,28.95%,277,28.27%
"DA2763, Toronto, ON",35202763,38,29.46%,469,"$315,897.01 ",85.59%,62,28.84%,132,29.80%
"DA2945, Toronto, ON",35202945,44,25.58%,489,"$291,404.23 ",79.53%,66,28.82%,136,26.98%
"DA2690, Toronto, ON",35202690,57,28.93%,550,"$200,000.00 ",73.97%,79,28.73%,146,28.85%
"DA1297, Toronto, ON",35201297,119,26.10%,951,"$128,941.29 ",67.75%,191,28.64%,308,31.95%
"DA2362, Toronto, ON",35202362,44,24.18%,318,"$74,445.44 ",42.31%,60,28.44%,102,31.38%
"DA2157, Toronto, ON",35202157,38,23.17%,522,"$138,259.18 ",46.64%,77,28.41%,128,25.75%
"DA2605, Toronto, ON",35202605,48,14.33%,574,"$42,432.05 ",48.11%,82,28.37%,149,26.00%
"DA2808, Toronto, ON",35202808,60,22.30%,557,"$103,857.17 ",65.38%,99,28.29%,162,28.57%
"DA2112, Toronto, ON",35202112,72,25.09%,954,"$106,223.06 ",59.75%,127,28.22%,206,27.14%
"DA2117, Toronto, ON",35202117,60,23.08%,665,"$91,376.45 ",51.91%,108,28.05%,186,26.65%
"DA2888, Toronto, ON",35202888,61,34.08%,530,"$288,548.55 ",78.65%,75,27.78%,149,28.11%
