Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA4527, Toronto, ON",35204527,56,26.79%,487,"$120,292.85 ",57.93%,85,27.78%,139,27.42%
"DA1317, Vaughan, ON",35191317,40,22.86%,638,"$155,594.82 ",59.31%,103,27.25%,170,25.41%
"DA2805, Toronto, ON",35202805,74,20.90%,713,"$113,312.26 ",71.22%,114,27.21%,206,29.06%
"DA1471, Toronto, ON",35201471,78,18.06%,757,"$75,477.13 ",50.51%,137,26.92%,215,27.64%
"DA2150, Toronto, ON",35202150,41,23.98%,485,"$95,413.99 ",38.75%,66,26.83%,128,25.91%
"DA2340, Toronto, ON",35202340,90,38.46%,511,"$185,874.16 ",65.34%,66,26.72%,143,27.98%
"DA3153, Toronto, ON",35203153,82,31.30%,627,"$146,867.26 ",74.93%,106,26.63%,211,32.87%
"DA0580, Toronto, ON",35200580,48,24.74%,506,"$196,921.22 ",74.82%,83,26.60%,141,25.92%
"DA2370, Toronto, ON",35202370,49,24.62%,578,"$275,777.47 ",75.09%,80,26.58%,154,26.19%
"DA0744, Toronto, ON",35200744,76,15.64%,953,"$92,255.68 ",56.11%,163,26.42%,254,26.08%
"DA2151, Toronto, ON",35202151,37,24.83%,520,"$140,747.31 ",42.92%,58,26.36%,141,27.06%
"DA2823, Toronto, ON",35202823,90,15.36%,"1,158","$136,730.66 ",73.17%,146,26.35%,264,24.84%
"DA2405, Toronto, ON",35202405,51,17.06%,680,"$85,412.13 ",57.28%,112,26.35%,179,25.43%
"DA3991, Toronto, ON",35203991,98,16.72%,"1,066","$97,114.84 ",72.36%,140,26.02%,243,22.23%
"DA0737, Toronto, ON",35200737,45,24.32%,431,"$123,187.61 ",57.96%,63,25.82%,120,27.03%
"DA0412, Markham, ON",35190412,33,27.73%,334,"$184,698.42 ",65.58%,41,25.63%,95,27.54%
"DA2385, Toronto, ON",35202385,56,25.81%,677,"$357,378.88 ",76.02%,94,25.41%,187,26.34%
"DA2694, Toronto, ON",35202694,102,28.65%,925,"$141,843.13 ",58.67%,135,25.14%,270,29.06%
"DA2646, Toronto, ON",35202646,85,37.28%,635,"$191,829.53 ",76.07%,88,24.93%,138,21.77%
"DA1048, Toronto, ON",35201048,55,19.78%,609,"$202,355.12 ",81.91%,100,24.81%,166,25.98%
"DA0275, Vaughan, ON",35190275,35,23.65%,452,"$115,278.08 ",49.80%,65,24.34%,115,24.21%
"DA1153, Toronto, ON",35201153,54,25.71%,531,"$112,359.05 ",67.63%,79,24.31%,141,25.87%
"DA2261, Toronto, ON",35202261,65,31.71%,531,"$193,604.63 ",81.85%,69,23.88%,118,21.03%
"DA0665, Toronto, ON",35200665,86,22.87%,896,"$205,190.37 ",67.28%,122,23.87%,217,23.87%
"DA1290, Vaughan, ON",35191290,601,22.46%,"8,936","$134,448.51 ",62.57%,"1,155",23.76%,"2,191",23.70%
"DA0282, Vaughan, ON",35190282,353,11.07%,"6,196","$61,302.48 ",53.32%,728,23.36%,"1,353",22.34%
"DA3237, Toronto, ON",35203237,63,25.71%,642,"$178,853.81 ",67.44%,83,22.99%,157,24.12%
"DA2771, Toronto, ON",35202771,67,30.32%,600,"$237,843.55 ",73.63%,69,22.77%,142,23.32%
"DA0734, Toronto, ON",35200734,38,23.75%,368,"$147,198.59 ",60.38%,53,22.46%,98,24.20%
"DA2845, Toronto, ON",35202845,53,27.46%,373,"$106,378.83 ",70.38%,58,22.31%,80,21.74%
"DA2102, Toronto, ON",35202102,39,18.48%,657,"$72,766.88 ",41.21%,75,22.06%,125,19.72%
"DA2326, Toronto, ON",35202326,43,22.16%,563,"$232,265.90 ",77.60%,70,22.01%,114,19.97%
"DA3990, Toronto, ON",35203990,64,15.13%,"1,391","$110,917.30 ",67.34%,127,22.01%,198,16.60%
"DA4040, Toronto, ON",35204040,58,11.86%,909,"$106,219.95 ",65.04%,79,21.94%,158,17.59%
"DA1311, Vaughan, ON",35191311,158,20.76%,"2,641","$138,277.96 ",60.89%,320,21.90%,580,21.63%
"DA1317, Toronto, ON",35201317,35,17.59%,432,"$101,744.81 ",64.73%,64,21.84%,100,21.79%
"DA2591, Toronto, ON",35202591,42,12.54%,967,"$72,659.44 ",53.63%,126,21.72%,191,19.29%
"DA0654, Toronto, ON",35200654,144,20.34%,"2,018","$198,442.88 ",64.15%,269,21.54%,437,21.34%
"DA2567, Toronto, ON",35202567,62,21.31%,821,"$110,091.17 ",47.83%,92,21.50%,190,22.84%
"DA3835, Toronto, ON",35203835,24,16.44%,339,"$122,839.98 ",71.22%,46,21.20%,74,20.73%
"DA0682, Toronto, ON",35200682,46,24.08%,439,"$133,553.46 ",59.07%,60,20.98%,110,23.50%
"DA4512, Toronto, ON",35204512,31,13.66%,547,"$84,331.38 ",46.48%,69,20.85%,100,18.32%
"DA1157, Toronto, ON",35201157,28,18.92%,370,"$156,963.45 ",62.15%,47,20.80%,77,20.05%
"DA1320, Toronto, ON",35201320,66,18.59%,736,"$103,199.48 ",70.65%,99,20.58%,153,20.37%
"DA0670, Toronto, ON",35200670,44,20.85%,549,"$149,337.70 ",71.75%,66,20.56%,114,20.00%
"DA4534, Toronto, ON",35204534,42,16.41%,481,"$61,997.11 ",57.95%,74,20.56%,115,23.14%
"DA0715, Toronto, ON",35200715,33,21.43%,421,"$172,030.66 ",65.69%,50,20.08%,91,20.97%
"DA4468, Toronto, ON",35204468,141,9.89%,"2,093","$107,206.50 ",77.76%,278,19.96%,417,20.04%
"DA0384, Toronto, ON",35200384,39,20.21%,558,"$281,563.38 ",74.31%,51,19.54%,113,20.00%
"DA0422, Markham, ON",35190422,24,19.67%,319,"$129,174.68 ",69.86%,32,19.51%,60,17.91%
"DA2575, Toronto, ON",35202575,40,18.43%,603,"$130,490.70 ",66.12%,62,19.50%,115,19.01%
"DA2377, Toronto, ON",35202377,34,16.35%,570,"$219,232.68 ",69.50%,58,19.46%,115,19.66%
"DA1154, Toronto, ON",35201154,45,20.18%,583,"$122,521.70 ",54.49%,70,19.39%,119,20.20%
"DA1312, Vaughan, ON",35191312,90,19.11%,"1,548","$131,147.37 ",60.87%,171,19.34%,308,19.42%
"DA0739, Toronto, ON",35200739,52,15.38%,623,"$74,093.87 ",64.30%,90,19.31%,141,21.63%
"DA4793, Toronto, ON",35204793,113,12.83%,"2,161","$94,062.32 ",63.68%,239,19.27%,333,18.70%
"DA2814, Toronto, ON",35202814,28,17.83%,341,"$171,686.12 ",76.80%,36,19.25%,64,18.60%
"DA1316, Toronto, ON",35201316,46,18.33%,622,"$116,442.26 ",60.89%,77,19.15%,124,19.08%
"DA0977, Toronto, ON",35200977,26,7.65%,612,"$36,847.87 ",50.33%,29,19.08%,77,12.40%
"DA4089, Toronto, ON",35204089,89,14.69%,947,"$65,182.18 ",57.40%,140,18.92%,188,19.60%
"DA2262, Toronto, ON",35202262,42,12.10%,769,"$54,179.89 ",45.58%,83,18.74%,155,19.52%
"DA1482, Toronto, ON",35201482,49,22.48%,568,"$204,118.07 ",67.07%,65,18.62%,123,20.67%
"DA0666, Toronto, ON",35200666,79,25.57%,798,"$154,476.76 ",65.43%,89,18.62%,167,20.57%
"DA1477, Toronto, ON",35201477,27,16.46%,444,"$174,185.17 ",69.01%,47,18.58%,75,16.52%
"DA1349, Toronto, ON",35201349,35,17.59%,494,"$146,735.02 ",59.93%,58,18.24%,94,18.29%
"DA2275, Toronto, ON",35202275,26,7.49%,604,"$31,385.12 ",32.69%,40,18.10%,95,15.08%
"DA3889, Toronto, ON",35203889,24,17.65%,347,"$180,077.74 ",70.97%,36,17.91%,61,16.76%
"DA3231, Toronto, ON",35203231,70,17.41%,782,"$100,270.00 ",59.54%,89,17.91%,144,18.09%
"DA1292, Toronto, ON",35201292,32,15.24%,573,"$135,855.71 ",70.06%,56,17.89%,95,16.90%
"DA4508, Toronto, ON",35204508,33,9.97%,558,"$138,335.83 ",70.51%,51,17.77%,83,15.12%
"DA1298, Toronto, ON",35201298,45,7.88%,"1,016","$117,264.90 ",67.90%,83,17.74%,181,17.69%
"DA0988, Toronto, ON",35200988,41,14.64%,673,"$99,664.97 ",60.27%,78,17.69%,115,17.45%
"DA0710, Toronto, ON",35200710,49,21.59%,523,"$141,848.11 ",71.99%,58,17.63%,96,17.45%
"DA1109, Toronto, ON",35201109,35,10.67%,652,"$96,144.96 ",62.07%,73,17.55%,107,16.16%
"DA2369, Toronto, ON",35202369,38,19.39%,590,"$270,544.17 ",76.19%,53,17.38%,106,17.70%
"DA4739, Toronto, ON",35204739,44,16.54%,518,"$106,765.62 ",75.16%,66,17.28%,128,19.66%
"DA2691, Toronto, ON",35202691,72,25.44%,650,"$136,998.46 ",73.10%,62,17.27%,118,17.85%
"DA1312, Toronto, ON",35201312,92,14.65%,"1,148","$123,005.45 ",67.64%,142,17.25%,212,17.82%
"DA2311, Toronto, ON",35202311,33,15.21%,519,"$70,814.32 ",46.93%,57,17.22%,101,18.46%
"DA0745, Toronto, ON",35200745,45,10.49%,647,"$63,590.19 ",44.88%,65,17.20%,107,16.04%
"DA4009, Toronto, ON",35204009,70,10.12%,"1,262","$70,243.05 ",62.67%,154,17.11%,248,19.36%
"DA2355, Toronto, ON",35202355,58,17.16%,913,"$266,653.62 ",82.56%,85,17.10%,159,17.19%
"DA0336, Vaughan, ON",35190336,28,14.21%,741,"$100,000.00 ",49.48%,65,17.02%,103,14.31%
"DA3799, Toronto, ON",35203799,53,20.00%,726,"$140,777.55 ",70.16%,69,16.87%,144,19.28%
"DA0905, Toronto, ON",35200905,34,17.53%,"1,100","$114,184.85 ",75.91%,40,16.81%,69,12.52%
"DA0340, Vaughan, ON",35190340,18,12.50%,472,"$113,468.01 ",50.55%,49,16.78%,74,15.04%
"DA2640, Toronto, ON",35202640,52,12.24%,954,"$75,173.60 ",57.76%,100,16.75%,173,17.89%
"DA3192, Toronto, ON",35203192,42,18.26%,730,"$85,477.02 ",56.79%,55,16.62%,105,16.77%
"DA1439, Toronto, ON",35201439,45,20.55%,562,"$100,714.05 ",60.43%,57,16.52%,107,18.01%
"DA2674, Toronto, ON",35202674,46,5.89%,"1,645","$78,952.75 ",69.83%,137,16.39%,195,14.07%
"DA3848, Toronto, ON",35203848,51,18.68%,551,"$212,730.08 ",73.28%,50,16.34%,88,13.54%
"DA4117, Toronto, ON",35204117,85,7.52%,"2,052","$55,257.78 ",48.68%,157,16.32%,308,14.33%
"DA0735, Toronto, ON",35200735,30,15.63%,465,"$112,285.72 ",66.93%,44,16.12%,84,17.50%
"DA2801, Toronto, ON",35202801,33,7.02%,968,"$199,427.52 ",67.35%,69,16.05%,134,15.69%
"DA1496, Toronto, ON",35201496,197,23.54%,"1,712","$166,082.71 ",65.88%,111,16.02%,269,17.17%
"DA1057, Toronto, ON",35201057,29,7.71%,683,"$146,831.19 ",74.50%,73,15.97%,126,17.65%
"DA2373, Toronto, ON",35202373,38,8.90%,692,"$68,142.24 ",67.23%,57,15.92%,112,15.91%
"DA0407, Markham, ON",35190407,19,11.52%,501,"$136,608.38 ",55.30%,42,15.85%,70,14.17%
"DA0732, Toronto, ON",35200732,41,14.75%,639,"$135,774.16 ",65.19%,67,15.80%,95,14.57%
"DA0372, Toronto, ON",35200372,22,17.60%,458,"$225,426.63 ",72.80%,36,15.72%,74,17.37%
"DA1045, Toronto, ON",35201045,28,9.93%,440,"$56,721.37 ",73.33%,50,15.63%,93,20.44%
"DA2390, Toronto, ON",35202390,18,12.95%,415,"$216,554.92 ",82.08%,35,15.63%,60,14.02%
"DA0403, Markham, ON",35190403,17,13.39%,405,"$174,478.86 ",65.13%,31,15.58%,58,14.43%
"DA4467, Toronto, ON",35204467,48,5.71%,"1,372","$59,663.73 ",54.29%,124,15.23%,223,16.51%
"DA0348, Vaughan, ON",35190348,13,12.62%,324,"$173,037.65 ",64.46%,28,15.22%,49,14.04%
"DA4039, Toronto, ON",35204039,117,13.86%,"1,360","$104,612.23 ",43.85%,103,15.21%,195,15.07%
"DA2154, Toronto, ON",35202154,26,9.96%,617,"$67,656.88 ",50.00%,58,15.14%,103,16.22%
"DA2400, Toronto, ON",35202400,26,16.25%,562,"$390,327.10 ",88.45%,43,15.09%,84,14.69%
"DA2600, Toronto, ON",35202600,31,19.25%,502,"$281,997.90 ",71.10%,40,14.93%,76,15.29%
"DA3147, Toronto, ON",35203147,80,19.70%,925,"$185,214.20 ",76.22%,81,14.92%,129,13.56%
"DA2419, Toronto, ON",35202419,14,8.43%,443,"$130,404.63 ",64.29%,42,14.89%,70,14.68%
"DA0798, Toronto, ON",35200798,39,15.98%,443,"$65,722.47 ",64.62%,39,14.83%,70,15.52%
"DA4539, Toronto, ON",35204539,36,12.16%,564,"$66,554.51 ",50.77%,59,14.82%,96,16.52%
"DA3858, Toronto, ON",35203858,25,11.85%,435,"$63,674.76 ",39.49%,38,14.67%,71,15.27%
"DA3235, Toronto, ON",35203235,40,16.06%,597,"$214,722.80 ",71.19%,53,14.56%,102,16.92%
"DA1055, Toronto, ON",35201055,43,11.75%,919,"$84,950.70 ",79.91%,63,14.52%,166,17.47%
"DA2899, Toronto, ON",35202899,37,18.23%,571,"$232,556.09 ",71.43%,41,14.39%,100,17.36%
"DA0741, Toronto, ON",35200741,54,12.62%,640,"$63,380.10 ",56.08%,57,14.29%,99,14.60%
"DA2955, Toronto, ON",35202955,22,9.44%,621,"$74,023.81 ",53.26%,53,14.29%,89,14.38%
"DA4526, Toronto, ON",35204526,40,15.09%,578,"$65,720.28 ",39.31%,51,14.21%,87,14.38%
"DA2414, Toronto, ON",35202414,11,13.75%,316,"$97,676.47 ",64.75%,17,14.17%,29,9.06%
"DA4193, Toronto, ON",35204193,4,3.33%,403,"$71,416.70 ",45.94%,31,14.09%,38,10.56%
"DA2593, Toronto, ON",35202593,7,4.46%,474,"$105,095.65 ",54.92%,39,13.98%,47,9.44%
"DA1358, Toronto, ON",35201358,37,11.82%,"1,135","$101,823.81 ",62.35%,70,13.94%,95,13.40%
"DA0993, Toronto, ON",35200993,9,7.44%,284,"$78,310.96 ",60.00%,28,13.93%,43,14.38%
"DA4752, Toronto, ON",35204752,47,15.36%,765,"$215,520.75 ",75.71%,61,13.77%,102,13.21%
"DA2762, Toronto, ON",35202762,38,12.18%,"1,045","$216,254.72 ",75.20%,68,13.77%,141,13.68%
"DA2274, Toronto, ON",35202274,15,3.97%,815,"$68,641.42 ",57.62%,55,13.75%,95,11.32%
"DA0167, King, ON",35190167,18,8.74%,692,"$192,124.29 ",44.70%,47,13.74%,89,13.01%
"DA0366, Vaughan, ON",35190366,94,10.83%,"2,358","$71,043.30 ",60.25%,180,13.73%,321,13.34%
"DA2338, Toronto, ON",35202338,42,22.95%,411,"$189,690.76 ",75.93%,30,13.70%,63,15.40%
"DA2389, Toronto, ON",35202389,35,13.21%,762,"$217,648.76 ",67.01%,58,13.65%,88,10.88%
"DA1060, Toronto, ON",35201060,5,2.50%,380,"$106,133.59 ",74.55%,39,13.64%,46,11.33%
"DA2809, Toronto, ON",35202809,27,17.88%,408,"$203,842.53 ",68.22%,26,13.61%,47,12.77%
"DA2228, Toronto, ON",35202228,25,11.42%,543,"$121,016.44 ",53.99%,44,13.58%,79,14.29%
"DA1059, Toronto, ON",35201059,11,4.66%,513,"$126,325.10 ",74.62%,45,13.51%,73,13.42%
"DA2119, Toronto, ON",35202119,31,7.28%,961,"$64,935.22 ",33.13%,97,13.51%,137,12.69%
"DA3883, Toronto, ON",35203883,25,12.02%,456,"$87,028.23 ",59.63%,39,13.49%,63,13.40%
"DA1373, Toronto, ON",35201373,19,13.10%,403,"$179,050.55 ",74.68%,32,13.39%,56,13.90%
